kingdom,sciName,unitName1,author,rankID,sourceIdentifier,source,notes,nomenclaturalStatus,acceptance,acceptedStr,
Fungi,Pseudocercospora cosmicola,Pseudocercospora,(A.K. Kar & M. Mandal) Deighton,220,mb:131720,,,Legitimate,1,Pseudocercospora cosmicola,
Fungi,Pseudocercospora costina,Pseudocercospora,(Sydow & P. Sydow) Deighton,220,mb:321551,,,Legitimate,1,Pseudocercospora costina,
Fungi,Pseudocercospora cotini,Pseudocercospora,(Katsuki & Tak. Kobayashi) Deighton,220,mb:131721,,,Legitimate,1,Pseudocercospora cotini,
Fungi,Pseudocercospora cotizensis,Pseudocercospora,(A.S. Muller & Chupp) Deighton,220,mb:321552,,,Legitimate,1,Pseudocercospora cotizensis,
Fungi,Pseudocercospora cotoneasteris,Pseudocercospora,(Katsuki & Ts. Kobayashi) Deighton,220,mb:278287,,,Orthographic variant,0,Pseudocercospora cotoneastri,
Fungi,Pseudocercospora cotoneastri,Pseudocercospora,(Katsuki & Tak. Kobayashi) Deighton,220,mb:131722,,,Legitimate,1,Pseudocercospora cotoneastri,
Fungi,Pseudocercospora couratari,Pseudocercospora,(Chupp) U. Braun & Crous,220,mb:439365,,,Legitimate,1,Pseudocercospora couratari,
Fungi,Pseudocercospora coussapoae,Pseudocercospora,F.B. Rocha & R.W. Barreto,220,mb:514083,,,Legitimate,1,Pseudocercospora coussapoae,
Fungi,Pseudocercospora crataegi,Pseudocercospora,(Saccardo & C. Massalongo) Y.L. Guo & X.L. Liu,220,mb:359409,,,Legitimate,1,Pseudocercospora crataegi,
Fungi,Pseudocercospora cratevae,Pseudocercospora,"Phengs., U. Braun, McKenzie, Chukeat., L. Cai & K.D. Hyde",220,if:801348,,,,1,Pseudocercospora cratevae,
Fungi,Pseudocercospora cratevicola,Pseudocercospora,C. Nakashima & U. Braun,220,mb:805517,,,Legitimate,1,Pseudocercospora cratevicola,
Fungi,Pseudocercospora crescentiae,Pseudocercospora,U. Braun & Urtiaga,220,mb:800011,,,Legitimate,1,Pseudocercospora crescentiae,
Fungi,Pseudocercospora crispans,Pseudocercospora,G.C. Hunter & P.W. Crous,220,mb:564830,,,Legitimate,1,Pseudocercospora crispans,
Fungi,Pseudocercospora crocea,Pseudocercospora,"P.W. Crous, U. Braun, G.C. Hunter & H.D. Shin",220,mb:564831,,,Legitimate,1,Pseudocercospora crocea,
Fungi,Pseudocercospora crossopterygis,Pseudocercospora,Deighton,220,mb:108407,,,Legitimate,1,Pseudocercospora crossopterygis,
Fungi,Pseudocercospora crotalariana,Pseudocercospora,(Pavgi & U.P. Singh) Deighton,220,mb:120267,,,Legitimate,1,Pseudocercospora crotalariana,
Fungi,Pseudocercospora crotalaricola,Pseudocercospora,(J.M. Yen) J.M. Yen,220,mb:278288,,,Orthographic variant,0,Pseudocercospora crotalariicola,
Fungi,Pseudocercospora crotalariicola,Pseudocercospora,(J.M. Yen) J.M. Yen,220,mb:321554,,,Legitimate,1,Pseudocercospora crotalariicola,
Fungi,Pseudocercospora crotalariigena,Pseudocercospora,"Archana Singh, P.N. Singh & N.K. Dubey",220,mb:833805,,,Legitimate,1,,
Fungi,Pseudocercospora crotoniphila,Pseudocercospora,"(Spegazzini) Crous, U. Braun & Alfenas",220,mb:278292,,,Orthographic variant,1,Pseudocercospora crotoniphila,
Fungi,Pseudocercospora crotonis,Pseudocercospora,(Ellis & Everhart) Deighton,220,mb:321555,,,Legitimate,0,Passalora crotonis,
Fungi,Pseudocercospora crotonophila,Pseudocercospora,"(Spegazzini) Crous, U. Braun & Alfenas",220,mb:459776,,,Legitimate,0,Pseudocercospora crotoniphila,
Fungi,Pseudocercospora crousii,Pseudocercospora,U. Braun & M.A. Dick,220,mb:373573,,,Legitimate,1,Pseudocercospora crousii,
Fungi,Pseudocercospora cruenta,Pseudocercospora,(Saccardo) Deighton,220,mb:321556,,,Legitimate,1,Pseudocercospora cruenta,
Fungi,Pseudocercospora cryptolepidis,Pseudocercospora,(Pandotra & Ganguly) Deighton,220,mb:321557,,,Legitimate,1,Pseudocercospora cryptolepidis,
Fungi,Pseudocercospora cryptomeriicola,Pseudocercospora,"(Sawada) C. Nakashima, Akashi & M. Akiba",220,mb:530768,,,Legitimate,0,Cercospora cryptomeriicola,
Fungi,Pseudocercospora cryptostegia-madagascariensis,Pseudocercospora,"J.L. Silva, R.W. Barreto & O.L. Pereira",220,mb:511185,,,Legitimate,1,Pseudocercospora cryptostegia-madagascariensis,
Fungi,Pseudocercospora cryptostegiae,Pseudocercospora,(W. Yamamoto) Deighton,220,mb:321558,,,Legitimate,1,Pseudocercospora cryptostegiae,
